"CR","Tracking #","Target DB","Migrated On","Migrated By","CR Type"
"CR000430","HRS-58945","EPM","02/17/2021 12:46:08PM","00824925","SCRP"
"CR000431","HRS-58959","EPM","02/23/2021  9:13:29AM","00274593","SCRP"
"CR000433","HRS-59358","EPM","04/12/2021 11:54:04AM","00274593","SCRP"
"CR000436","HRS-59593","EPM","06/09/2021  4:39:40PM","00274593","CODE"
"CR000437","HRS-59860","EPM","06/15/2021 11:35:25AM","00150774","SCRP"
"CR000439","HRS-55629","EPM","09/17/2021  4:58:14PM","00379213","SCRP"
"CR000439","HRS-55629","EPM","09/17/2021  6:31:51PM","00379213","SCRP"
"CR000439","HRS-55629","EPM","09/17/2021  7:02:17PM","00379213","SCRP"
"CR000440","HRS-60418","EPM","09/05/2021  8:28:47AM","00379213","SCRP"
"CR000442","HRS-60474","EPM","09/28/2021  2:22:00PM","00274593","SCRP"
"CR000444","HRS-58758","EPM","10/03/2021  8:11:10AM","00274593","CODE"
"CR012378","HRS-56199","HRS","08/08/2021  8:11:25AM","00274593","SCRP"
"CR012388","HRS-55676","HRS","08/08/2021  8:10:53AM","00274593","HFIX"
"CR012725","HRS-57017","HRS","04/04/2021  8:11:22AM","00274593","SCRP"
"CR013113","HRS-57892","HRS","11/01/2021  4:31:41PM","00274593","SCRP"
"CR013137","HRS-57897","HRS","02/26/2021  1:48:53PM","00824925","SCRP"
"CR013250","HRS-58250","HRS","04/04/2021  8:12:28AM","00274593","HFIX"
"CR013251","HRS-58250","HRS","04/04/2021  8:13:49AM","00274593","SCRP"
"CR013264","HRS-58325","HRS","05/02/2021  8:30:33AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:31:53AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:32:22AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:32:51AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:33:16AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:33:49AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:34:15AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:34:40AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:35:01AM","00824925","HFIX"
"CR013264","HRS-58325","HRS","05/02/2021  8:35:31AM","00824925","HFIX"
"CR013265","HRS-58325","HRS","05/02/2021  8:35:47AM","00824925","SCRP"
"CR013268","HRS-58211","HRS","03/07/2021  9:19:16AM","00824925","SCRP"
"CR013287","HRS-58312","HRS","02/01/2021  9:44:07AM","00274593","HFIX"
"CR013287","HRS-58312","HRS","02/01/2021  9:45:26AM","00274593","HFIX"
"CR013287","HRS-58312","HRS","02/01/2021  9:46:20AM","00274593","HFIX"
